game_name,month,total_ticket_sales,total_ticket_sales_count,year,zip_code
Pick4 Fireball,January,1506.5,"1,893",2017,60067
Powerball,January,22106.0,"5,566",2017,60067
EZ Match,January,2036.0,"2,036",2017,60068
Instant Rollup,January,328050.0,Not Tracked,2017,60068
Lotto,January,27450.0,"8,253",2017,60068
Lucky Day Lotto,January,30339.0,"13,034",2017,60068
Mega Millions ,January,28679.0,"9,529",2017,60068
Pick 3,January,11575.0,"10,613",2017,60068
Pick3 Fireball,January,2814.0,"2,866",2017,60068
Pick 4,January,9284.0,"9,604",2017,60068
Pick4 Fireball,January,3284.0,"3,664",2017,60068
Powerball,January,28066.0,"6,572",2017,60068
EZ Match,January,240.0,240,2017,60069
Instant Rollup,January,52500.0,Not Tracked,2017,60069
Lotto,January,4147.0,"1,384",2017,60069
Lucky Day Lotto,January,3999.0,"1,764",2017,60069
Mega Millions ,January,6052.0,"2,153",2017,60069
Pick 3,January,633.0,631,2017,60069
Pick3 Fireball,January,165.0,125,2017,60069
Pick 4,January,788.5,828,2017,60069
Pick4 Fireball,January,243.5,302,2017,60069
Powerball,January,5902.0,"1,406",2017,60069
EZ Match,January,1970.0,"1,970",2017,60070
Instant Rollup,January,302850.0,Not Tracked,2017,60070
Lotto,January,19322.0,"5,564",2017,60070
Lucky Day Lotto,January,24004.0,"10,733",2017,60070
Mega Millions ,January,17320.0,"5,745",2017,60070
Pick 3,January,14136.0,"14,740",2017,60070
Pick3 Fireball,January,3726.0,"4,064",2017,60070
Pick 4,January,12812.0,"13,608",2017,60070
Pick4 Fireball,January,4152.5,"4,206",2017,60070
Powerball,January,15660.0,"3,781",2017,60070
EZ Match,January,658.0,658,2017,60071
Instant Rollup,January,114000.0,Not Tracked,2017,60071
Lotto,January,7715.0,"2,151",2017,60071
Lucky Day Lotto,January,8613.0,"2,902",2017,60071
Mega Millions ,January,6209.0,"2,276",2017,60071
Pick 3,January,5952.0,"4,613",2017,60071
Pick3 Fireball,January,3347.5,"2,038",2017,60071
Pick 4,January,7517.0,"4,519",2017,60071
Pick4 Fireball,January,5975.0,"2,777",2017,60071
Powerball,January,6736.0,"1,609",2017,60071
EZ Match,January,4661.0,"4,661",2017,60073
Instant Rollup,January,902550.0,Not Tracked,2017,60073
Lotto,January,26285.0,"8,688",2017,60073
Lucky Day Lotto,January,34663.0,"16,225",2017,60073
Mega Millions ,January,31590.0,"11,961",2017,60073
Pick 3,January,26320.5,"26,363",2017,60073
Pick3 Fireball,January,4959.0,"5,547",2017,60073
Pick 4,January,16822.0,"18,729",2017,60073
Pick4 Fireball,January,5770.5,"6,138",2017,60073
Powerball,January,31793.0,"8,436",2017,60073
EZ Match,January,2811.0,"2,811",2017,60074
Instant Rollup,January,624150.0,Not Tracked,2017,60074
Lotto,January,21742.0,"6,953",2017,60074
Lucky Day Lotto,January,30590.0,"12,912",2017,60074
Mega Millions ,January,25944.0,"8,988",2017,60074
Pick 3,January,16736.0,"14,433",2017,60074
Pick3 Fireball,January,3948.0,"3,874",2017,60074
Pick 4,January,14716.0,"17,461",2017,60074
Pick4 Fireball,January,4724.0,"5,463",2017,60074
Powerball,January,25330.0,"6,038",2017,60074
EZ Match,January,70.0,70,2017,60075
Instant Rollup,January,9450.0,Not Tracked,2017,60075
Lotto,January,781.0,232,2017,60075
Lucky Day Lotto,January,901.0,413,2017,60075
Mega Millions ,January,1033.0,416,2017,60075
Pick 3,January,193.5,188,2017,60075
Pick3 Fireball,January,50.0,48,2017,60075
Pick 4,January,277.5,291,2017,60075
Pick4 Fireball,January,167.0,168,2017,60075
Powerball,January,1174.0,320,2017,60075
EZ Match,January,3427.0,"3,427",2017,60076
Instant Rollup,January,647550.0,Not Tracked,2017,60076
Lotto,January,32552.0,"11,260",2017,60076
Lucky Day Lotto,January,45167.0,"20,912",2017,60076
Mega Millions ,January,31242.0,"12,043",2017,60076
Pick 3,January,43254.5,"44,561",2017,60076
Pick3 Fireball,January,8067.5,"9,986",2017,60076
Pick 4,January,42182.5,"53,153",2017,60076
Pick4 Fireball,January,14773.0,"19,886",2017,60076
Powerball,January,30821.0,"8,184",2017,60076
EZ Match,January,2503.0,"2,503",2017,60077
Instant Rollup,January,506100.0,Not Tracked,2017,60077
Lotto,January,23061.0,"8,412",2017,60077
Lucky Day Lotto,January,33856.0,"16,551",2017,60077
Mega Millions ,January,26003.0,"10,287",2017,60077
Pick 3,January,27604.0,"28,895",2017,60077
Pick3 Fireball,January,5660.5,"6,739",2017,60077
Pick 4,January,31254.0,"41,575",2017,60077
Pick4 Fireball,January,7786.5,"11,417",2017,60077
Powerball,January,25325.0,"6,800",2017,60077
EZ Match,January,174.0,174,2017,60081
Instant Rollup,January,48450.0,Not Tracked,2017,60081
Lotto,January,2704.0,909,2017,60081
Lucky Day Lotto,January,4104.0,"1,412",2017,60081
Mega Millions ,January,2970.0,964,2017,60081
Pick 3,January,1589.0,"1,588",2017,60081
Pick3 Fireball,January,77.0,37,2017,60081
Pick 4,January,557.5,472,2017,60081
Pick4 Fireball,January,9.5,9,2017,60081
Powerball,January,2994.0,694,2017,60081
EZ Match,January,906.0,906,2017,60083
Instant Rollup,January,148050.0,Not Tracked,2017,60083
Lotto,January,14425.0,"2,946",2017,60083
Lucky Day Lotto,January,16003.0,"4,608",2017,60083
Mega Millions ,January,12943.0,"4,266",2017,60083
Pick 3,January,6902.0,"5,879",2017,60083
Pick3 Fireball,January,1532.5,"1,412",2017,60083
Pick 4,January,7528.0,"7,272",2017,60083
Pick4 Fireball,January,1912.0,"1,928",2017,60083
Powerball,January,13614.0,"3,280",2017,60083
EZ Match,January,936.0,936,2017,60084
Instant Rollup,January,229650.0,Not Tracked,2017,60084
Lotto,January,9100.0,"2,907",2017,60084
Lucky Day Lotto,January,12463.0,"4,949",2017,60084
Mega Millions ,January,9912.0,"3,548",2017,60084
Pick 3,January,12106.5,"12,353",2017,60084
Pick3 Fireball,January,2434.5,"2,849",2017,60084
Pick 4,January,5209.5,"4,671",2017,60084
Pick4 Fireball,January,2555.5,"2,497",2017,60084
Powerball,January,8657.0,"2,238",2017,60084
EZ Match,January,4273.0,"4,273",2017,60085
Instant Rollup,January,1146300.0,Not Tracked,2017,60085
Lotto,January,23144.0,"9,493",2017,60085
Lucky Day Lotto,January,37412.0,"20,867",2017,60085
Mega Millions ,January,31646.0,"14,114",2017,60085
Pick 3,January,106604.0,"111,797",2017,60085
Pick3 Fireball,January,17831.5,"22,180",2017,60085
